strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
MultiTF_OFI,GC,"{""trend_window"": 40, ""entry_pct"": 75, ""rr_ratio"": 2.0, ""hold_bars"": 5}",12488,0.4331,464763.0,499.82,-316.25,1.208,2.9095,-0.0082,51549.0
MultiTF_OFI,GC,"{""trend_window"": 20, ""entry_pct"": 75, ""rr_ratio"": 1.5, ""hold_bars"": 5}",13386,0.4553,186269.5,410.06,-317.15,1.081,1.331,-0.0082,57548.0
OFI_Microprice,GC,"{""mp_diff_pct"": 70, ""ofi_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",10885,0.4065,451693.5,687.69,-401.14,1.174,2.2389,-0.0082,56618.0
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 12}",17178,0.409,611598.0,567.56,-332.55,1.181,2.5925,-0.0082,67297.5
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 8}",15196,0.4513,239544.0,426.51,-322.07,1.089,1.3764,-0.0082,77125.5
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 8}",17178,0.4165,602888.0,533.05,-320.28,1.188,2.6137,-0.0082,53841.5
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 12}",15196,0.4486,254931.0,445.92,-332.36,1.092,1.3865,-0.0082,84104.5
OFI_Microprice,GC,"{""mp_diff_pct"": 70, ""ofi_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",10885,0.4202,408745.5,597.23,-368.08,1.176,2.4161,-0.0082,51554.5
OFI_Reversal,GC,"{""ofi_pct"": 85, ""body_fraction"": 0.2, ""rr_ratio"": 1.5, ""hold_bars"": 5}",9648,0.4397,117860.5,465.08,-343.14,1.064,0.9176,-0.0082,79698.5
OFI_Microprice,GC,"{""mp_diff_pct"": 60, ""ofi_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 10}",10922,0.446,171409.5,525.32,-394.55,1.072,1.1482,-0.0082,75777.5
OFI_Microprice,GC,"{""mp_diff_pct"": 60, ""ofi_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 5}",10922,0.4257,514187.0,594.02,-358.42,1.229,3.1317,-0.0082,37565.5
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 8}",15196,0.42,681870.0,546.03,-318.1,1.243,3.234,-0.0082,70480.5
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 12}",19588,0.4081,867632.0,585.44,-328.74,1.228,2.9904,-0.0082,80895.0
OFI_Reversal,GC,"{""ofi_pct"": 85, ""body_fraction"": 0.2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",9648,0.4004,435232.0,667.31,-370.37,1.203,2.3574,-0.0082,43452.5
OFI_Microprice,GC,"{""mp_diff_pct"": 70, ""ofi_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 5}",9258,0.4248,450181.0,620.21,-373.54,1.226,2.9585,-0.0083,42389.5
