======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['GC']  Strategies: 16
======================================================================
[GC] Primary bars: 77,270 rows
[GC] Quick mode: 28,374 bars from 2024
[GC] 28,374 bars ready. L2 cols present: 17/17

  Depth_Imbalance_MeanRev             GC  trades=1200  dsr=-0.011  pnl=$ -51,525
  Depth_Imbalance_MeanRev             GC  trades=1200  dsr=-0.011  pnl=$ -54,861
  Depth_Imbalance_MeanRev             GC  trades=1200  dsr=-0.011  pnl=$ -12,234
  Depth_Imbalance_MeanRev             GC  trades=1200  dsr=-0.011  pnl=$  -4,441
  Depth_Imbalance_MeanRev             GC  trades=1200  dsr=-0.011  pnl=$  -9,112
  Depth_Imbalance_MeanRev             GC  trades= 994  dsr=-0.012  pnl=$ -35,950
  Depth_Imbalance_MeanRev             GC  trades= 994  dsr=-0.012  pnl=$ -35,210
  Depth_Imbalance_MeanRev             GC  trades= 994  dsr=-0.012  pnl=$ -37,939
  Depth_Imbalance_MeanRev             GC  trades= 994  dsr=+0.026  pnl=$   1,044
  Depth_Imbalance_MeanRev             GC  trades= 994  dsr=+0.249  pnl=$   9,874
  Depth_Imbalance_MeanRev             GC  trades= 994  dsr=+0.218  pnl=$   6,151
  Depth_Imbalance_MeanRev             GC  trades= 786  dsr=+2.018  pnl=$ -45,830
  Depth_Imbalance_MeanRev             GC  trades= 786  dsr=-0.012  pnl=$ -43,385
  Depth_Imbalance_MeanRev             GC  trades= 786  dsr=-0.012  pnl=$ -44,129
  Depth_Imbalance_MeanRev             GC  trades= 786  dsr=-0.012  pnl=$ -15,610
  Depth_Imbalance_MeanRev             GC  trades= 786  dsr=-0.012  pnl=$  -2,988
  Depth_Imbalance_MeanRev             GC  trades= 786  dsr=-0.012  pnl=$  -3,288
  MultiTF_OFI                         GC  trades=18984  dsr=+0.647  pnl=$-204,420
  MultiTF_OFI                         GC  trades=18984  dsr=-0.008  pnl=$-213,300
  MultiTF_OFI                         GC  trades=18984  dsr=-0.008  pnl=$ 153,580
  MultiTF_OFI                         GC  trades=18984  dsr=-0.008  pnl=$ 178,676
