======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['SI']  Strategies: 16
======================================================================
[SI] Primary bars: 37,920 rows
[SI] Quick mode: 15,172 bars from 2024
[SI] 15,172 bars ready. L2 cols present: 17/17

  CVD_Microprice                      SI  trades= 969  dsr=-0.660  pnl=$ -54,684
  CVD_Microprice                      SI  trades= 969  dsr=-0.337  pnl=$ -30,440
  CVD_Microprice                      SI  trades= 969  dsr=+0.510  pnl=$  47,912
  CVD_Microprice                      SI  trades= 969  dsr=+0.465  pnl=$  74,252
  CVD_Slope_Regime                    SI  trades=2193  dsr=+0.362  pnl=$  54,958
  CVD_Slope_Regime                    SI  trades=2193  dsr=+0.333  pnl=$  36,224
  CVD_Slope_Regime                    SI  trades=2193  dsr=-0.010  pnl=$ 179,737
  CVD_Slope_Regime                    SI  trades=2193  dsr=-0.010  pnl=$ 171,350
  CVD_Slope_Regime                    SI  trades=1338  dsr=-0.011  pnl=$  71,949
  CVD_Slope_Regime                    SI  trades=1338  dsr=-0.011  pnl=$  91,914
  CVD_Slope_Regime                    SI  trades=1338  dsr=-0.011  pnl=$ 177,589
  CVD_Slope_Regime                    SI  trades=1338  dsr=-0.011  pnl=$ 228,029
  CVD_Slope_Regime                    SI  trades= 805  dsr=-0.064  pnl=$  -2,038
  CVD_Slope_Regime                    SI  trades= 805  dsr=-0.018  pnl=$    -199
  CVD_Slope_Regime                    SI  trades= 805  dsr=+0.544  pnl=$  37,718
  CVD_Slope_Regime                    SI  trades= 805  dsr=+0.354  pnl=$  43,418
  CVD_Acceleration                    SI  trades=1902  dsr=-0.011  pnl=$  99,997
  CVD_Acceleration                    SI  trades=1902  dsr=-0.011  pnl=$  56,692
  CVD_Acceleration                    SI  trades=1902  dsr=-0.011  pnl=$ 213,681
  CVD_Acceleration                    SI  trades=1902  dsr=-0.011  pnl=$ 143,258
  CVD_Acceleration                    SI  trades=1164  dsr=-0.013  pnl=$  47,380
  CVD_Acceleration                    SI  trades=1164  dsr=+0.098  pnl=$   6,662
  CVD_Acceleration                    SI  trades=1164  dsr=-0.013  pnl=$ 122,232
  CVD_Acceleration                    SI  trades=1164  dsr=-0.013  pnl=$  66,892
  CVD_Acceleration                    SI  trades= 715  dsr=-0.739  pnl=$ -12,828
  CVD_Acceleration                    SI  trades= 715  dsr=-2.057  pnl=$ -42,811
  CVD_Acceleration                    SI  trades= 715  dsr=+0.069  pnl=$  31,600
  CVD_Acceleration                    SI  trades= 715  dsr=+0.062  pnl=$   2,055
  CVD_VWAP                            SI  trades=1953  dsr=+0.423  pnl=$  69,009
  CVD_VWAP                            SI  trades=1953  dsr=+0.479  pnl=$  82,130
  CVD_VWAP                            SI  trades=1953  dsr=-0.009  pnl=$ 219,146
  CVD_VWAP                            SI  trades=1953  dsr=-0.009  pnl=$ 248,622
  CVD_VWAP                            SI  trades=1824  dsr=+0.475  pnl=$  79,217
  CVD_VWAP                            SI  trades=1824  dsr=+0.491  pnl=$  88,071
  CVD_VWAP                            SI  trades=1824  dsr=-0.009  pnl=$ 209,154
  CVD_VWAP                            SI  trades=1824  dsr=-0.009  pnl=$ 234,557
  CVD_VWAP                            SI  trades=2780  dsr=+0.652  pnl=$ 155,401
  CVD_VWAP                            SI  trades=2780  dsr=+0.657  pnl=$ 161,134
  CVD_VWAP                            SI  trades=2780  dsr=-0.009  pnl=$ 343,895
  CVD_VWAP                            SI  trades=2780  dsr=-0.009  pnl=$ 372,228
  CVD_VWAP                            SI  trades=2584  dsr=+0.656  pnl=$ 147,093
  CVD_VWAP                            SI  trades=2584  dsr=+0.623  pnl=$ 163,414
  CVD_VWAP                            SI  trades=2584  dsr=-0.009  pnl=$ 307,842
  CVD_VWAP                            SI  trades=2584  dsr=-0.009  pnl=$ 345,932
  Depth_Imbalance_Momentum            SI  trades=6645  dsr=-0.009  pnl=$ 501,221
  Depth_Imbalance_Momentum            SI  trades=6645  dsr=-0.009  pnl=$ 661,759
  Depth_Imbalance_Momentum            SI  trades=6645  dsr=-0.009  pnl=$1,127,500
  Depth_Imbalance_Momentum            SI  trades=6645  dsr=-0.009  pnl=$1,261,930
  Depth_Imbalance_Momentum            SI  trades=5925  dsr=-0.009  pnl=$ 411,416
  Depth_Imbalance_Momentum            SI  trades=5925  dsr=-0.009  pnl=$ 575,141
  Depth_Imbalance_Momentum            SI  trades=5925  dsr=-0.009  pnl=$ 988,438
  Depth_Imbalance_Momentum            SI  trades=5925  dsr=-0.009  pnl=$1,142,205
  Depth_Imbalance_Momentum            SI  trades=5004  dsr=-0.010  pnl=$ 348,528
  Depth_Imbalance_Momentum            SI  trades=5004  dsr=-0.010  pnl=$ 508,160
  Depth_Imbalance_Momentum            SI  trades=5004  dsr=-0.010  pnl=$ 860,437
  Depth_Imbalance_Momentum            SI  trades=5004  dsr=-0.010  pnl=$1,010,864
  Depth_Imbalance_Momentum            SI  trades=5237  dsr=-0.009  pnl=$ 436,710
  Depth_Imbalance_Momentum            SI  trades=5237  dsr=-0.009  pnl=$ 607,085
  Depth_Imbalance_Momentum            SI  trades=5237  dsr=-0.009  pnl=$ 979,774
  Depth_Imbalance_Momentum            SI  trades=5237  dsr=-0.009  pnl=$1,111,381
  Depth_Imbalance_Momentum            SI  trades=4667  dsr=-0.010  pnl=$ 323,485
  Depth_Imbalance_Momentum            SI  trades=4667  dsr=-0.010  pnl=$ 492,591
  Depth_Imbalance_Momentum            SI  trades=4667  dsr=-0.010  pnl=$ 810,596
  Depth_Imbalance_Momentum            SI  trades=4667  dsr=-0.010  pnl=$ 968,796
  Depth_Imbalance_Momentum            SI  trades=3902  dsr=-0.011  pnl=$ 286,071
  Depth_Imbalance_Momentum            SI  trades=3902  dsr=-0.011  pnl=$ 445,208
  Depth_Imbalance_Momentum            SI  trades=3902  dsr=-0.011  pnl=$ 699,581
  Depth_Imbalance_Momentum            SI  trades=3902  dsr=-0.011  pnl=$ 850,071
  Depth_Imbalance_Momentum            SI  trades=4260  dsr=-0.010  pnl=$ 335,392
  Depth_Imbalance_Momentum            SI  trades=4260  dsr=-0.010  pnl=$ 484,126
  Depth_Imbalance_Momentum            SI  trades=4260  dsr=-0.010  pnl=$ 792,220
  Depth_Imbalance_Momentum            SI  trades=4260  dsr=-0.010  pnl=$ 918,620
  Depth_Imbalance_Momentum            SI  trades=3808  dsr=-0.010  pnl=$ 209,892
  Depth_Imbalance_Momentum            SI  trades=3808  dsr=-0.010  pnl=$ 373,990
  Depth_Imbalance_Momentum            SI  trades=3808  dsr=-0.010  pnl=$ 613,464
  Depth_Imbalance_Momentum            SI  trades=3808  dsr=-0.010  pnl=$ 783,602
  Depth_Imbalance_Momentum            SI  trades=3188  dsr=-0.011  pnl=$ 177,185
  Depth_Imbalance_Momentum            SI  trades=3188  dsr=-0.011  pnl=$ 328,014
  Depth_Imbalance_Momentum            SI  trades=3188  dsr=-0.011  pnl=$ 540,102
  Depth_Imbalance_Momentum            SI  trades=3188  dsr=-0.011  pnl=$ 697,279
  Depth_Imbalance_MeanRev             SI  trades= 656  dsr=-0.473  pnl=$ -24,854
  Depth_Imbalance_MeanRev             SI  trades= 656  dsr=-0.327  pnl=$ -17,578
  Depth_Imbalance_MeanRev             SI  trades= 656  dsr=-0.465  pnl=$ -24,868
  Depth_Imbalance_MeanRev             SI  trades= 656  dsr=-0.013  pnl=$  55,670
  Depth_Imbalance_MeanRev             SI  trades= 656  dsr=-0.013  pnl=$  60,140
  Depth_Imbalance_MeanRev             SI  trades= 656  dsr=+0.084  pnl=$  30,896
  Depth_Imbalance_MeanRev             SI  trades= 555  dsr=-0.499  pnl=$ -25,120
  Depth_Imbalance_MeanRev             SI  trades= 555  dsr=-0.426  pnl=$ -21,463
  Depth_Imbalance_MeanRev             SI  trades= 555  dsr=-0.585  pnl=$ -29,053
  Depth_Imbalance_MeanRev             SI  trades= 555  dsr=-0.013  pnl=$  55,964
  Depth_Imbalance_MeanRev             SI  trades= 555  dsr=-0.013  pnl=$  57,727
  Depth_Imbalance_MeanRev             SI  trades= 555  dsr=-0.013  pnl=$  42,745
  Depth_Imbalance_MeanRev             SI  trades= 474  dsr=+0.112  pnl=$   7,110
  Depth_Imbalance_MeanRev             SI  trades= 474  dsr=+0.146  pnl=$   9,864
  Depth_Imbalance_MeanRev             SI  trades= 474  dsr=+0.046  pnl=$   2,916
  Depth_Imbalance_MeanRev             SI  trades= 474  dsr=-0.013  pnl=$  90,551
  Depth_Imbalance_MeanRev             SI  trades= 474  dsr=-0.013  pnl=$  99,957
  Depth_Imbalance_MeanRev             SI  trades= 474  dsr=-0.014  pnl=$  81,356
  MultiTF_OFI                         SI  trades=7074  dsr=-0.009  pnl=$ 207,214
  MultiTF_OFI                         SI  trades=7074  dsr=+0.010  pnl=$ 212,050
  MultiTF_OFI                         SI  trades=7074  dsr=-0.009  pnl=$ 719,622
  MultiTF_OFI                         SI  trades=7074  dsr=-0.009  pnl=$ 696,887
  MultiTF_OFI                         SI  trades=5382  dsr=+0.263  pnl=$ 108,436
  MultiTF_OFI                         SI  trades=5382  dsr=+0.224  pnl=$ 125,127
  MultiTF_OFI                         SI  trades=5382  dsr=-0.009  pnl=$ 518,758
  MultiTF_OFI                         SI  trades=5382  dsr=-0.009  pnl=$ 509,938
  MultiTF_OFI                         SI  trades=6594  dsr=+0.296  pnl=$ 112,666
  MultiTF_OFI                         SI  trades=6594  dsr=+0.095  pnl=$  40,880
